S.No,Date,Festivity,Area,Description(If needed),Duration,Interest groups, Regional/Religion-based/Lunar/Solar calendars,If spend/not,Total spend happened(Reserach),
333,13-11-2024,Bhai Dooj,North india,NA,1 day,"social, educational",Gregorian solar calender,Yes,40000,
334,14-11-2024,children's Day,India,NA,1 day,"Historical, cultural",Gregorian solar calender,Yes,35000,
335,15-11-2024,Birsa munda jayanthi,Jharkhand,NA,1 day,"Social, Humanitarian",Gregorian solar calender,Yes,30000,
336,16-11-2024,International day for tolerance,Global,NA,1 day,"Health, social",Gregorian solar calender,Yes,20000,
337,17-11-2024,world prematurity day,Global,NA,1 day,Hindu,Hindu lunar(Kartika),Yes,65000,
338,18-11-2024,Krva chauth,North india,NA,1 day,"social, educational",Gregorian solar calender,Yes,25000,
339,19-11-2024,Internatational men's day,Global,NA,1 day,"social, educational",Gregorian solar calender,Yes,30000,
340,20-11-2024,Universal children's day,Global,NA,1 day,Global,Gregorian solar calender,Yes,30000,
341,21-11-2024,world television day,Global,NA,1 day,Hindu,Hindu lunar(Kartika),Yes,45000,
342,22-11-2024,kanakadasa jayanthi,Karnataka,NA,1 day,Cultural,Gregorian solar calender,Yes,60000,
343,23-11-2024,Tribes india aadi mahotsav,India,NA,1 day,sikh,Sikh Nanakshahi calender,Yes,55000,
344,24-11-2024,Guru teg bahadur martyrdom day,Punjay,NA,1 day,National,Gregorian solar calender,Yes,40000,
345,25-11-2024,Constitution day,India,NA,1 day,Christian community,Christian calender,Yes,35000,
346,26-11-2024,Thanksgiving day,Goa,NA,1 day,Cultural,Gregorian solar calender,Yes,30000,
347,27-11-2024,Lachit divas,Assam,NA,1 day,Hindu,Hindu lunar(Kartika),Yes,50000,
348,28-11-2024,sri satya sai baba jayanthi,Andhra pradesh,NA,1 day,Hindu,Hindu lunar(Kartika),Yes,45000,
349,29-11-2024,NA,NA,NA,1 day,NA ,NA,NA,NA,
350,30-11-2024,St. Andrew's Day,Goa,NA,1 day,Christian community,Christian calender,Yes,30000,
351,01-12-2024,World's AIDS day,Global,NA,1 day,"Health, social",Gregorian solar calender,Yes,40000,
352,02-12-2024,National Pollution control day,India,NA,1 day,"Enviremental, Government",Gregorian solar calender,Yes,40000,
353,03-12-2024,International day for persons with disabilities,Global,NA,1 day,"Health, social",Gregorian solar calender,Yes,35000,
354,04-12-2024,Navy day,India,NA,1 day,"Defense, National",Gregorian solar calender,Yes,50000,
355,05-12-2024,International volunteer day,Global,NA,1 day,"Social, Humanitarian",Gregorian solar calender,Yes,30000,
356,06-12-2024,DR. B. R. Ambedkar mahparinirvan diwas,India,NA,1 day,"Social, poltical",Gregorian solar calender,Yes,45000,
357,07-12-2024,Armed forces flag day,India,NA,1 day,"Defence, National",Gregorian solar calender,Yes,55000,
358,08-12-2024,Bodhi day,Bihar,NA,1 day,Buddhist,Buddhist Lunar calender,Yes,40000,
359,09-12-2024,International Anti-corruption day,Global,NA,1 day,"Social, Governance",Gregorian solar calender,Yes,35000,
360,10-12-2024,World human rights day,Global,NA,1 day,"Social, Humanitarian",Gregorian solar calender,Yes,40000,
361,11-12-2024,International mountain day,Global,NA,1 day,"Enviremental, Government",Gregorian solar calender,Yes,30000,
362,12-12-2024,Poinsettia day,Goa,NA,1 day,Christian community,Christian calender,Yes,20000,
363,13-12-2024,Death Anniversary of sardar vallabhai patel,India,NA,1 day,"Historical, poltical",Gregorian solar calender,Yes,35000,
364,14-12-2024,National energy conservation day,India,NA,1 day,"Enviremental, Government",Gregorian solar calender,Yes,45000,
365,15-12-2024,International Tea day,North India,NA,1 day,Cultural,Gregorian solar calender,Yes,30000,
366,16-12-2024,Vijay diwas,India,NA,1 day,"Military, Historical",Gregorian solar calender,Yes,45000,
367,17-12-2024,Pollachi maattu pongal,Tamil nadu,NA,1 day,Hindu,Hindu solar calender(Tamil),Yes,40000,
368,18-12-2024,Minorities rights day,India,NA,1 day,"Social, political",Gregorian solar calender,Yes,35000,
369,19-12-2024,Goa liberation day,Goa,NA,1 day,"National, historical",Gregorian solar calender,Yes,50000,
370,20-12-2024,International human solidarity day,Global,NA,1 day,"Social, Humanitarian",Gregorian solar calender,Yes,35000,
371,21-12-2024,Tansen Samaroh,Madhya pradesh,NA,1 day,"cultural, musical",Gregorian solar calender,Yes,45000,
372,22-12-2024,National Mathematics day,India,NA,1 day,"Educational, scientfic",Gregorian solar calender,Yes,35000,
373,23-12-2024,Kisan diwas,India,NA,1 day,"Agricultural, social",Gregorian solar calender,Yes,40000,
374,24-12-2024,Christman Eve,India,NA,1 day,Christian community,Christian calender,Yes,50000,
375,25-12-2024,Christman Day,India,NA,1 day,Christian community,Christian calender,Yes,60000,
376,26-12-2024,Boxing day,Christian community,NA,1 day,Christian community,Christian calender,Yes,30000,
377,27-12-2024,Veer bal diwas,India,NA,1 day,"Historical, Religious",Sikh Nanakshahi calender,Yes,35000,
378,28-12-2024,Chhawl dance festival,Odisha,NA,1 day,Cultural,Hindu Lunar calender,Yes,45000,
379,29-12-2024,Pushkar fair,Rajasthan,NA,1 day,Hindu,Hindu lunar calender,yes,70000,
380,30-12-2024,NA,NA,NA,1 day,NA,NA,NA,NA,
381,31-12-2024,New year's Eve,Global,NA,1 day,"Cultural, Social",Gregorian solar calender,Yes,80000,
